molecule_chembl_id,canonical_smiles,target_chembl_id,document_chembl_id,target_pref_name,assay_chembl_id,assay_description,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_comment,document_year,assay_variant_context,assay_mechanism_context
CHEMBL174255,CCCCc1c(O)c2c(Cl)cccc2[n+]2ccccc12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665293,Half-Maximal effective concentration of compound required to stimulate of wild type-CFTR activity in the presence of 10 uM Fsk,F,EC50,=,1700.0,nM,5.77,,2004,wild type,unspecified
CHEMBL174255,CCCCc1c(O)c2c(Cl)cccc2[n+]2ccccc12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665292,Half-Maximal effective concentration of compound required to stimulate of G551D-CFTR activity in the presence of 10 uM Fsk,F,EC50,=,750.0,nM,6.12,,2004,G551D,unspecified
CHEMBL173488,CCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665293,Half-Maximal effective concentration of compound required to stimulate of wild type-CFTR activity in the presence of 10 uM Fsk,F,EC50,=,54200.0,nM,4.27,,2004,wild type,unspecified
CHEMBL173488,CCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665292,Half-Maximal effective concentration of compound required to stimulate of G551D-CFTR activity in the presence of 10 uM Fsk,F,EC50,=,48000.0,nM,4.32,,2004,G551D,unspecified
CHEMBL176333,CC(C)Cc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665293,Half-Maximal effective concentration of compound required to stimulate of wild type-CFTR activity in the presence of 10 uM Fsk,F,EC50,=,26000.0,nM,4.58,,2004,wild type,unspecified
CHEMBL176333,CC(C)Cc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665292,Half-Maximal effective concentration of compound required to stimulate of G551D-CFTR activity in the presence of 10 uM Fsk,F,EC50,=,32000.0,nM,4.50,,2004,G551D,unspecified
CHEMBL367928,Oc1cc2cccc[n+]2c2cccc(Cl)c12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665293,Half-Maximal effective concentration of compound required to stimulate of wild type-CFTR activity in the presence of 10 uM Fsk,F,EC50,=,146000.0,nM,,,2004,wild type,unspecified
CHEMBL367928,Oc1cc2cccc[n+]2c2cccc(Cl)c12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665292,Half-Maximal effective concentration of compound required to stimulate of G551D-CFTR activity in the presence of 10 uM Fsk,F,EC50,>,200000.0,nM,,,2004,G551D,unspecified
CHEMBL177276,CCCCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665293,Half-Maximal effective concentration of compound required to stimulate of wild type-CFTR activity in the presence of 10 uM Fsk,F,EC50,=,21000.0,nM,4.68,,2004,wild type,unspecified
CHEMBL177276,CCCCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665292,Half-Maximal effective concentration of compound required to stimulate of G551D-CFTR activity in the presence of 10 uM Fsk,F,EC50,=,20000.0,nM,4.70,,2004,G551D,unspecified
CHEMBL173487,CCCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665293,Half-Maximal effective concentration of compound required to stimulate of wild type-CFTR activity in the presence of 10 uM Fsk,F,EC50,=,23500.0,nM,4.63,,2004,wild type,unspecified
CHEMBL173487,CCCCc1c(O)c2cccc(Cl)c2[n+]2ccccc12.[Cl-],CHEMBL4051,CHEMBL1148470,Cystic fibrosis transmembrane conductance regulator,CHEMBL665292,Half-Maximal effective concentration of compound required to stimulate of G551D-CFTR activity in the presence of 10 uM Fsk,F,EC50,=,34000.0,nM,4.47,,2004,G551D,unspecified
